时段序号,时间段,电价(元/kWh),负载电量(kWh),光伏电量(kWh),购电量(kWh),充电量(kWh),放电量(kWh),弃光量(kWh),期初储电量(kWh),期末储电量(kWh),购电费用(元)
20,03:10-03:20,0.4371,589.5475666666666,0.0,589.5475666666666,0.0,-0.0,0.0,10050.0,10050.0,257.69124138999996
21,03:20-03:30,0.4356,590.8134666666666,0.0,590.8134666666666,0.0,-0.0,0.0,10050.0,10050.0,257.35834608
22,03:30-03:40,0.4353,590.2131166666666,0.0,590.2131166666666,0.0,-0.0,0.0,10050.0,10050.0,256.91976968499995
23,03:40-03:50,0.436,591.0662666666666,0.0,591.0662666666666,0.0,-0.0,0.0,10050.0,10050.0,257.70489226666666
24,03:50-04:00,0.4378,593.3678333333332,0.0,593.3678333333332,0.0,-0.0,0.0,10050.0,10050.0,259.7764374333333
25,04:00-04:10,0.4401,593.6596833333333,0.0,593.6596833333333,0.0,-0.0,0.0,10050.0,10050.0,261.269626635
26,04:10-04:20,0.4389,592.7863833333333,0.0,592.7863833333333,0.0,-0.0,0.0,10050.0,10050.0,260.173943645
27,04:20-04:30,0.4364,593.3378666666666,0.0,593.3378666666666,0.0,-0.0,0.0,10050.0,10050.0,258.93264501333334
28,04:30-04:40,0.4393,596.7756666666667,0.0999,596.6757666666666,0.0,-0.0,0.0,10050.0,10050.0,262.11966429666666
29,04:40-04:50,0.4422,597.8193333333334,0.03908333333333333,597.78025,0.0,-0.0,0.0,10050.0,10050.0,264.33842655
30,04:50-05:00,0.4395,595.2105833333333,0.048083333333333325,595.1624999999999,0.0,-0.0,0.0,10050.0,10050.0,261.57391874999996
31,05:00-05:10,0.4333,593.7195166666667,3.1130166666666668,590.6065,0.0,-0.0,0.0,10050.0,10050.0,255.90979645000002
32,05:10-05:20,0.4439,598.5634833333334,9.078299999999999,589.4851833333333,0.0,-0.0,0.0,10050.0,10050.0,261.6724728816667
33,05:20-05:30,0.4301,596.6174166666666,18.161966666666665,578.4554499999999,0.0,-0.0,0.0,10050.0,10050.0,248.79368904499995
34,05:30-05:40,0.3713,581.0198333333333,30.693383333333333,1383.6597833333333,833.3333333333333,0.0,0.0,10050.0,10800.0,513.7528775516666
35,05:40-05:50,0.5708,637.3165666666666,46.17636666666667,591.1401999999999,0.0,-0.0,0.0,10800.0,10800.0,337.42282615999994
36,05:50-06:00,0.9099,733.0121166666665,64.75823333333332,2.2538833333331922,0.0,666.0,0.0,10800.0,10060.0,2.0508084449998716
37,06:00-06:10,0.9368,742.3353833333333,86.88005,0.0,0.0,657.0,1.5446666666666715,10060.0,9330.0,0.0
38,06:10-06:20,0.8758,728.6319833333333,112.12795,0.004033333333381961,0.0,616.5,0.0,9330.0,8645.0,0.0035323933333759215
39,06:20-06:30,0.8759,732.1588333333334,140.70434999999998,1.9544833333334282,0.0,589.5,0.0,8645.0,7990.0,1.7119319516667497
40,06:30-06:40,0.8601,730.7659333333332,173.27906666666667,0.0,0.0,558.0,0.5131333333333714,7990.0,7370.0,0.0
41,06:40-06:50,0.8442,739.1292833333333,209.88958333333335,2.7396999999999707,0.0,526.5,0.0,7370.0,6785.0,2.3128547399999753
42,06:50-07:00,0.8334,753.90935,251.43863333333334,2.9707166666667035,0.0,499.5,0.0,6785.0,6230.0,2.475795270000031
43,07:00-07:10,0.8092,754.0120166666667,298.56845,0.9435666666666975,0.0,454.5,0.0,6230.0,5725.0,0.7635341466666916
44,07:10-07:20,0.7972,757.6477833333333,347.5810833333333,0.5667000000000257,0.0,409.5,0.0,5725.0,5270.0,0.4517732400000205
45,07:20-07:30,0.7644,753.8736333333333,396.87685,1.4967833333332692,0.0,355.5,0.0,5270.0,4875.0,1.144141179999951
46,07:30-07:40,0.6899,730.5594333333333,447.1958666666667,0.0,0.0,283.5,0.1364333333333434,4875.0,4560.0,0.0
47,07:40-07:50,0.86,818.4099833333332,497.72586666666666,1.1841166666665686,0.0,319.5,0.0,4560.0,4205.0,1.018340333333249
48,07:50-08:00,1.1617,966.6221166666666,548.2006666666666,0.0,0.0,418.5,0.07855000000006385,4205.0,3740.0,0.0
49,08:00-08:10,1.1683,980.8043333333333,598.89355,0.0,0.0,382.5,0.5892166666667435,3740.0,3315.0,0.0
50,08:10-08:20,1.0956,958.0118833333332,648.4555333333333,0.0,0.0,310.5,0.9436500000000478,3315.0,2970.0,0.0
51,08:20-08:30,1.0849,961.5096833333333,696.8902833333333,0.0,0.0,265.5,0.8805999999999585,2970.0,2675.0,0.0
52,08:30-08:40,1.061,959.0350833333333,745.2942833333333,2.2408000000000357,0.0,211.5,0.0,2675.0,2440.0,2.377488800000038
53,08:40-08:50,1.043,970.6967833333333,792.1378666666666,0.0,0.0,180.0,1.4410833333332675,2440.0,2240.0,0.0
54,08:50-09:00,1.036,992.3766833333334,836.9845666666666,2.392116666666766,0.0,153.0,0.0,2240.0,2070.0,2.4782328666667697
55,09:00-09:10,1.0147,993.1616,880.9020999999999,0.0,0.0,112.5,0.24049999999988358,2070.0,1945.0,0.0
56,09:10-09:20,0.9922,988.2592333333333,923.8623666666667,1.3968666666665968,0.0,63.0,0.0,1945.0,1875.0,1.3859711066665972
57,09:20-09:30,0.97,987.2971333333332,964.7348833333333,0.06224999999994907,0.0,22.5,0.0,1875.0,1850.0,0.060382499999950594
58,09:30-09:40,0.9422,984.5976666666667,1002.0217333333333,0.0,16.666666666666668,0.0,0.7573999999999614,1850.0,1865.0,0.0
59,09:40-09:50,0.9569,983.1877,1036.0254666666665,2.7177888888891175,55.55555555555556,0.0,0.0,1865.0,1915.0,2.6006521877779964
60,09:50-10:00,0.9977,983.7032666666667,1068.2656833333333,0.0,83.33333333333333,0.0,1.2290833333333921,1915.0,1990.0,0.0
61,10:00-10:10,0.9919,982.9132166666666,1099.8968,0.0,116.66666666666666,0.0,0.31691666666665697,1990.0,2095.0,0.0
62,10:10-10:20,0.9588,981.1261333333333,1127.7867333333334,0.0,144.44444444444443,0.0,2.216155555555588,2095.0,2225.0,0.0
63,10:20-10:30,0.9549,978.9118,1152.43205,0.0,172.22222222222223,0.0,1.2980277777776337,2225.0,2380.0,0.0
64,10:30-10:40,0.9839,976.3384666666667,1177.36755,0.0,200.0,0.0,1.0290833333333467,2380.0,2560.0,0.0
65,10:40-10:50,0.799,974.1658,1199.5719166666665,2.3716611111112798,227.77777777777777,0.0,0.0,2560.0,2765.0,1.8949572277779125
66,10:50-11:00,0.5025,973.1764499999999,1217.1857,0.4351944444442779,244.44444444444443,0.0,0.0,2765.0,2985.0,0.21868520833324961
67,11:00-11:10,0.4662,973.1183833333332,1231.2808,575.1709166666665,833.3333333333333,0.0,0.0,2985.0,3735.0,268.1446813499999
68,11:10-11:20,0.5007,970.5729666666666,1243.2044999999998,5.146244444444619,277.77777777777777,0.0,0.0,3735.0,3985.0,2.576724593333421
69,11:20-11:30,0.4827,969.1322,1253.4531833333333,4.567905555555626,288.88888888888886,0.0,0.0,3985.0,4245.0,2.2049280116667007
70,11:30-11:40,0.4785,972.06585,1261.3673166666667,144.03186666666647,433.3333333333333,0.0,0.0,4245.0,4635.0,68.9192481999999
71,11:40-11:50,0.4662,952.1501666666666,1265.3589833333333,520.1245166666665,833.3333333333333,0.0,0.0,4635.0,5385.0,242.48204966999992
72,11:50-12:00,0.4432,919.9101166666666,1266.84055,486.40290000000005,833.3333333333333,0.0,0.0,5385.0,6135.0,215.57376528
73,12:00-12:10,0.4411,915.7984499999999,1268.7193333333332,480.41245000000004,833.3333333333333,0.0,0.0,6135.0,6885.0,211.909931695
74,12:10-12:20,0.4551,919.0754,1267.1087333333332,485.29999999999995,833.3333333333333,0.0,0.0,6885.0,7635.0,220.86003
75,12:20-12:30,0.4463,914.3048333333332,1259.0312,488.6069666666667,833.3333333333333,0.0,0.0,7635.0,8385.0,218.06528922333334
76,12:30-12:40,0.4113,910.3937999999999,1245.4564,498.2707333333333,833.3333333333333,0.0,0.0,8385.0,9135.0,204.93875261999997
77,12:40-12:50,0.5682,927.6844333333333,1232.2361999999998,1.0037888888891757,305.55555555555554,0.0,0.0,9135.0,9410.0,0.5703528466668297
78,12:50-13:00,0.8279,954.2924666666665,1218.79965,2.1594833333333554,266.6666666666667,0.0,0.0,9410.0,9650.0,1.7878362516666848
79,13:00-13:10,0.8636,956.5826166666667,1199.0901666666666,1.9368944444445333,244.44444444444443,0.0,0.0,9650.0,9870.0,1.6727020422222991
80,13:10-13:20,0.8416,952.4472666666667,1175.5228499999998,0.0,222.22222222222223,0.0,0.8533611111108712,9870.0,10070.0,0.0
81,13:20-13:30,0.8618,952.9750833333333,1151.7343999999998,1.2406833333334362,200.0,0.0,0.0,10070.0,10250.0,1.0692208966667553
82,13:30-13:40,0.8623,951.3747666666666,1128.7345833333334,0.4179611111110262,177.77777777777777,0.0,0.0,10250.0,10410.0,0.36040786611103787
83,13:40-13:50,0.9026,949.4863666666666,1101.2266666666665,0.0,150.0,0.0,1.7402999999999338,10410.0,10545.0,0.0
84,13:50-14:00,0.9754,948.7163833333334,1068.7514166666665,2.187188888889068,122.22222222222221,0.0,0.0,10545.0,10655.0,2.133384042222397
85,14:00-14:10,1.0002,947.8548499999999,1035.6693,1.0744388888888352,88.88888888888889,0.0,0.0,10655.0,10735.0,1.0746537766666129
86,14:10-14:20,0.9978,946.4936666666667,1000.1185333333333,1.9306888888889944,55.55555555555556,0.0,0.0,10735.0,10785.0,1.9264413733334387
87,14:20-14:30,1.0271,944.9084666666665,961.1636,0.41153333333318187,16.666666666666668,0.0,0.0,10785.0,10800.0,0.4226858866665111
88,14:30-14:40,1.0906,944.0324666666667,920.2511,1.2813666666667132,0.0,22.5,0.0,10800.0,10775.0,1.3974584866667175
89,14:40-14:50,0.9376,945.4501833333334,878.1301666666666,0.0,0.0,67.5,0.1799833333332117,10775.0,10700.0,0.0
90,14:50-15:00,0.6694,947.0423999999999,834.9525333333332,112.0898666666667,0.0,-0.0,0.0,10700.0,10700.0,75.03295674666668
91,15:00-15:10,0.66,944.8365833333334,790.5747333333334,265.3729611111112,111.11111111111111,0.0,0.0,10700.0,10800.0,175.14615433333339
92,15:10-15:20,0.7217,942.7275166666666,745.204,197.52351666666664,0.0,-0.0,0.0,10800.0,10800.0,142.55272197833332
93,15:20-15:30,0.7308,942.8477833333333,698.03375,244.8140333333332,0.0,-0.0,0.0,10800.0,10800.0,178.91009555999992
94,15:30-15:40,0.7534,943.7668,648.2321833333333,295.5346166666667,0.0,-0.0,0.0,10800.0,10800.0,222.65578019666668
95,15:40-15:50,0.7823,944.8766,599.0990999999999,345.77750000000015,0.0,-0.0,0.0,10800.0,10800.0,270.50173825000013
96,15:50-16:00,0.8055,945.57945,550.6479666666667,394.9314833333333,0.0,-0.0,0.0,10800.0,10800.0,318.11730982499995
97,16:00-16:10,0.8271,945.1691000000001,499.73744999999997,445.4316500000001,0.0,-0.0,0.0,10800.0,10800.0,368.41651771500005
98,16:10-16:20,0.8519,943.5987666666666,447.90218333333337,495.69658333333325,0.0,-0.0,0.0,10800.0,10800.0,422.2839193416666
99,16:20-16:30,0.8791,944.3153666666667,397.1963166666667,547.11905,0.0,-0.0,0.0,10800.0,10800.0,480.972356855
100,16:30-16:40,0.9024,948.1728666666666,348.18743333333333,599.9854333333333,0.0,-0.0,0.0,10800.0,10800.0,541.42685504
101,16:40-16:50,0.9163,933.9435666666666,298.5138166666667,635.4297499999999,0.0,-0.0,0.0,10800.0,10800.0,582.2442799249999
102,16:50-17:00,0.9264,911.1187333333334,250.28805,660.8306833333334,0.0,-0.0,0.0,10800.0,10800.0,612.19354504
103,17:00-17:10,0.9462,911.2323166666666,209.19538333333333,702.0369333333333,0.0,-0.0,0.0,10800.0,10800.0,664.26734632
104,17:10-17:20,0.9742,910.7878333333333,172.72205,738.0657833333333,0.0,-0.0,0.0,10800.0,10800.0,719.0236861233333
105,17:20-17:30,0.9862,915.4076333333334,139.46291666666667,775.9447166666666,0.0,-0.0,0.0,10800.0,10800.0,765.2366795766666
106,17:30-17:40,0.976,936.9551333333334,110.87188333333333,826.08325,0.0,-0.0,0.0,10800.0,10800.0,806.257252
107,17:40-17:50,1.0742,848.5354333333332,86.11263333333332,762.4227999999999,0.0,-0.0,0.0,10800.0,10800.0,818.99457176
108,17:50-18:00,1.2313,701.4281333333333,64.44551666666666,636.9826166666667,0.0,-0.0,0.0,10800.0,10800.0,784.3166959016667
109,18:00-18:10,1.2561,687.1268499999999,45.96554999999999,510.66129999999987,0.0,130.5,0.0,10800.0,10655.0,641.4416589299998
110,18:10-18:20,1.2447,709.3226333333333,30.492099999999997,678.8305333333333,0.0,-0.0,0.0,10655.0,10655.0,844.9403648399999
111,18:20-18:30,1.2545,704.3254,18.0569,686.2684999999999,0.0,-0.0,0.0,10655.0,10655.0,860.9238332499998
112,18:30-18:40,1.2522,705.5563999999999,9.052016666666667,696.5043833333333,0.0,-0.0,0.0,10655.0,10655.0,872.1627888099999
113,18:40-18:50,1.2881,707.7437499999999,3.1094833333333334,2.6342666666665764,0.0,702.0,0.0,10655.0,9875.0,3.393198893333217
114,18:50-19:00,1.3466,706.5299166666666,0.04588333333333333,0.0,0.0,706.5,0.015966666666713536,9875.0,9090.0,0.0
115,19:00-19:10,1.3523,707.4447333333333,0.038266666666666664,0.9064666666665744,0.0,706.5,0.0,9090.0,8305.0,1.2258148733332086
116,19:10-19:20,1.3445,708.6531166666666,0.10011666666666666,2.0529999999999973,0.0,706.5,0.0,8305.0,7520.0,2.7602584999999964
117,19:20-19:30,1.3483,709.4468833333333,0.0,2.9468833333332896,0.0,706.5,0.0,7520.0,6735.0,3.9732827983332744
118,19:30-19:40,1.349,711.23245,0.0,0.23244999999997162,0.0,711.0,0.0,6735.0,5945.0,0.3135750499999617
119,19:40-19:50,1.3473,711.6625,0.0,0.6625000000000227,0.0,711.0,0.0,5945.0,5155.0,0.8925862500000306
120,19:50-20:00,1.3482,711.4450333333332,0.0,0.4450333333331855,0.0,711.0,0.0,5155.0,4365.0,0.5999939399998008
121,20:00-20:10,1.3513,713.7040833333333,0.0,2.704083333333301,0.0,711.0,0.0,4365.0,3575.0,3.6540278083332898
122,20:10-20:20,1.34,715.28415,0.0,4.284149999999954,0.0,711.0,0.0,3575.0,2785.0,5.740760999999939
123,20:20-20:30,1.3489,715.22685,0.0,4.226850000000013,0.0,711.0,0.0,2785.0,1995.0,5.701597965000017
124,20:30-20:40,1.3952,715.6530333333333,0.0,0.15303333333326918,0.0,715.5,0.0,1995.0,1200.0,0.21351210666657716
125,20:40-20:50,1.2226,715.8689166666666,0.0,715.8689166666666,0.0,-0.0,0.0,1200.0,1200.0,875.2213375166665
126,20:50-21:00,0.9332,717.0051166666667,0.0,717.0051166666667,0.0,-0.0,0.0,1200.0,1200.0,669.1091748733334
127,21:00-21:10,0.9068,720.1603,0.0,720.1603,0.0,-0.0,0.0,1200.0,1200.0,653.0413600400001
128,21:10-21:20,0.9371,717.0548666666666,0.0,717.0548666666666,0.0,-0.0,0.0,1200.0,1200.0,671.9521155533333
129,21:20-21:30,0.9371,720.4459666666667,0.0,720.4459666666667,0.0,-0.0,0.0,1200.0,1200.0,675.1299153633333
130,21:30-21:40,0.9871,738.1347166666666,0.0,738.1347166666666,0.0,-0.0,0.0,1200.0,1200.0,728.6127788216666
131,21:40-21:50,0.7764,671.6935666666666,0.0,671.6935666666666,0.0,-0.0,0.0,1200.0,1200.0,521.5028851599999
132,21:50-22:00,0.4209,560.4569833333333,0.0,1393.7903166666665,833.3333333333333,0.0,0.0,1200.0,1950.0,586.6463442849999
133,22:00-22:10,0.3859,551.5655666666667,0.0,1384.8989,833.3333333333333,0.0,0.0,1950.0,2700.0,534.43248551
134,22:10-22:20,0.4368,568.8260499999999,0.0,568.8260499999999,0.0,-0.0,0.0,2700.0,2700.0,248.46321863999998
135,22:20-22:30,0.4198,563.6552166666667,0.0,1396.98855,833.3333333333333,0.0,0.0,2700.0,3450.0,586.45579329
136,22:30-22:40,0.4186,564.4265333333333,0.0,1397.7598666666665,833.3333333333333,0.0,0.0,3450.0,4200.0,585.1022801866667
137,22:40-22:50,0.4241,566.7474333333332,0.0,566.7474333333332,0.0,-0.0,0.0,4200.0,4200.0,240.3575864766666
138,22:50-23:00,0.4237,566.5404333333333,0.0,1399.8737666666666,833.3333333333333,0.0,0.0,4200.0,4950.0,593.1265149366667
139,23:00-23:10,0.4248,567.83015,0.0,567.83015,0.0,-0.0,0.0,4950.0,4950.0,241.21424772
140,23:10-23:20,0.424,569.3586333333333,0.0,574.9141888888888,5.555555555555555,0.0,0.0,4950.0,4955.0,243.76361608888885
141,23:20-23:30,0.422,570.3301833333333,0.0,1403.6635166666665,833.3333333333333,0.0,0.0,4955.0,5705.0,592.3460040333332
142,23:30-23:40,0.424,571.6153833333333,0.0,899.3931611111111,327.77777777777777,0.0,0.0,5705.0,6000.0,381.3427003111111
143,23:40-23:50,0.4271,573.1768333333333,0.0,573.1768333333333,0.0,-0.0,0.0,6000.0,6000.0,244.80382551666665
144,23:50-24:00,0.4276,574.1209833333332,0.0,574.1209833333332,0.0,-0.0,0.0,6000.0,6000.0,245.49413247333328
