日期,时段序号,自然日时段,电价(元/kWh),预测负载功率(kW),预测光伏功率(kW),实际负载功率(kW),实际光伏功率(kW),计划购电量(kWh),计划充电量(kWh),计划放电量(kWh),紧急购电量(kWh),剩余电量(kWh),期初储电量(kWh),期末储电量(kWh)
2025-02-01,11,01:40-01:50,0.4312,2852.3626568516597,0.0,2830.598,0.0,514.6971097934609,0.0,0.0,0.0,42.93077646012756,10200.0,10200.0
2025-02-01,12,01:50-02:00,0.4333,2938.11943201004,0.0,2688.1558,0.0,535.2829886683398,0.0,0.0,0.0,87.25702200167319,10200.0,10200.0
2025-02-01,13,02:00-02:10,0.4311,2934.1243742389843,0.0,2384.42,0.0,543.1364493158223,0.0,0.0,0.0,145.73311598248904,10200.0,10200.0
2025-02-01,14,02:10-02:20,0.4293,2846.353979169062,0.0,2604.5438,0.0,506.77513154944484,0.0,0.0,0.0,72.68449821611154,10200.0,10200.0
2025-02-01,15,02:20-02:30,0.4324,2911.692065087774,0.0,2943.3655,0.0,544.7541569725599,0.0,0.0,0.0,54.19324030589331,10200.0,10200.0
2025-02-01,16,02:30-02:40,0.4367,3049.89190807388,0.0,3019.32,0.0,535.6997621908477,0.0,0.0,0.0,32.47976219084762,10200.0,10200.0
2025-02-01,17,02:40-02:50,0.4348,2968.672147884904,0.0,2844.4369,0.0,540.8672302030395,0.0,0.0,0.0,66.79441353637287,10200.0,10200.0
2025-02-01,18,02:50-03:00,0.4335,3004.324517550422,0.0,2768.3064,0.0,533.8844445917368,0.0,0.0,0.0,72.50004459173687,10200.0,10200.0
2025-02-01,19,03:00-03:10,0.4357,3164.4952370138217,0.0,2861.65,0.0,556.670702955502,0.0,0.0,0.0,79.72903628883529,10200.0,10200.0
2025-02-01,20,03:10-03:20,0.4374,3105.0058197071876,0.0,2900.3973,0.0,538.9341730041567,0.0,0.0,0.0,55.53462300415674,10200.0,10200.0
2025-02-01,21,03:20-03:30,0.4371,3023.0891047459527,0.0,2919.6115,0.0,524.1186586320896,0.0,0.0,0.0,37.516741965422966,10200.0,10200.0
2025-02-01,22,03:30-03:40,0.4356,3008.6261075922484,0.0,2993.09,0.0,526.7313499637492,0.0,0.0,0.0,27.883016630415796,10200.0,10200.0
2025-02-01,23,03:40-03:50,0.4353,2967.3891103910305,0.0,3109.8584,0.0,525.4536850651718,0.0,0.0,0.0,7.14395173183857,10200.0,10200.0
2025-02-01,24,03:50-04:00,0.436,3048.7002556619823,0.0,3054.8008,0.0,540.8677731658859,0.0,0.0,0.0,31.7343064992192,10200.0,10200.0
2025-02-01,25,04:00-04:10,0.4378,3184.1376058137726,0.0,2901.7,0.0,569.3012676356285,0.0,0.0,0.0,85.68460096896189,10200.0,10200.0
2025-02-01,26,04:10-04:20,0.4401,3143.5001088380686,0.0,2947.1208,0.0,568.6884459174557,0.0,0.0,0.0,77.50164591745573,10200.0,10200.0
2025-02-01,27,04:20-04:30,0.4389,3161.152360643005,0.0,3027.8717,0.0,567.7603984926052,0.0,0.0,0.0,63.11511515927185,10200.0,10200.0
2025-02-01,28,04:30-04:40,0.4364,3277.85550958183,0.0,3033.47,0.0,589.0647283270155,0.0,0.0,0.0,83.48639499368221,10200.0,10200.0
2025-02-01,29,04:40-04:50,0.4393,3277.267882401368,0.0,3019.3858,0.0,576.500062884327,0.0,0.0,0.0,73.26909621766038,10200.0,10200.0
2025-02-01,30,04:50-05:00,0.4422,3169.006722424838,0.0011077954699763755,3017.0819,0.0014,588.6983524382279,0.0,0.0,0.0,85.85160243822783,10200.0,10200.0
2025-02-01,31,05:00-05:10,0.4395,3091.3917534005836,0.0,2997.85,0.0,560.1840603982664,0.0,0.0,0.0,60.54239373159976,10200.0,10200.0
2025-02-01,32,05:10-05:20,0.4333,3182.125130325195,0.0,2932.7015,0.0,560.2987259203993,0.0,0.0,0.0,71.51514258706595,10200.0,10200.0
2025-02-01,33,05:20-05:30,0.4439,3306.8493194870407,0.018281700738974758,2991.1125,0.0199,593.7262678390151,0.0,0.0,0.0,95.21083450568177,10200.0,10200.0
2025-02-01,34,05:30-05:40,0.4301,3387.792184956383,0.0,3175.34,0.0,581.4681419371748,0.0,0.0,0.0,52.24480860384142,10200.0,10200.0
2025-02-01,35,05:40-05:50,0.3713,3434.047173679749,0.0,3284.4619,0.0,1281.528265057736,666.6666666666666,0.0,0.0,67.45128172440263,10200.0,10800.0
2025-02-01,36,05:50-06:00,0.5708,3314.115669224987,0.25451274576537664,3187.3644,0.2774,642.5456316354257,0.0,-0.0,0.0,111.36446496875905,10800.0,10800.0
2025-02-01,37,06:00-06:10,0.9099,3164.1016265525923,0.0,3065.9,0.0,0.0,0.0,634.6380488698765,0.0,123.65471553654311,10800.0,10094.846612366804
2025-02-01,38,06:10-06:20,0.9368,3269.509262425824,0.0,3211.1231,0.0,0.0,0.0,621.6017909598595,0.0,86.41460762652628,10094.846612366804,9404.177955744737
2025-02-01,39,06:20-06:30,0.8758,3313.7265950722153,3.544999872582915,3203.9961,3.8641,0.0,0.0,639.6157908666054,0.0,106.26045753327207,9404.177955744737,8693.493743670731
2025-02-01,40,06:30-06:40,0.8759,3208.3756076293976,0.0,3027.12,0.0,0.0,0.0,659.5685536525186,0.0,155.04855365251865,8693.493743670731,7960.639795167933
2025-02-01,41,06:40-06:50,0.8601,3225.7409411569392,0.0,3117.3221,0.0,0.0,0.0,638.0950211452041,0.0,118.54133781187079,7960.639795167933,7251.645327228817
2025-02-01,42,06:50-07:00,0.8442,3535.5368787223447,59.77352580606719,3398.49,89.6095,0.0,0.0,643.6604048079404,0.0,92.18032147460713,7251.645327228817,6536.467099664439
2025-02-01,43,07:00-07:10,0.8334,3895.3739859852835,268.3632041917806,3652.75,340.5,0.0,0.0,633.5609448959475,0.0,81.51927822928087,6536.467099664439,5832.510494224497
2025-02-01,44,07:10-07:20,0.8092,3869.5634279173196,531.3843521340684,3703.2843,615.936,0.0,0.0,613.9114937108053,0.0,99.35344371080544,5832.510494224497,5150.386612323602
2025-02-01,45,07:20-07:30,0.7972,3765.3512885141076,811.6319177209203,3572.3788,884.9275,0.0,0.0,554.0196344699035,0.0,106.11108446990357,5150.386612323602,4534.809240690376
2025-02-01,46,07:30-07:40,0.7644,3786.071034291596,1098.8533288149697,3477.22,1140.675,502.3462824524592,0.0,0.0,0.0,112.92211578579256,4534.809240690376,4534.809240690376
2025-02-01,47,07:40-07:50,0.6899,3833.2491272273364,1396.2677257870027,3654.0022,1388.0797,470.8896753207706,0.0,0.0,0.0,93.2359253207706,4534.809240690376,4534.809240690376
2025-02-01,48,07:50-08:00,0.86,3784.6479312210377,1696.5162766058477,3841.4201,1674.452,0.0,0.0,470.298560929319,0.0,109.13721092931905,4534.809240690376,4012.2552841022434
2025-02-01,49,08:00-08:10,1.1617,3699.069780383837,2002.8435026034845,3803.65,2004.1125,0.0,0.0,465.969498125973,0.0,166.04658145930637,4012.2552841022434,3494.511397295607
2025-02-01,50,08:10-08:20,1.1683,3735.231556139801,2322.149782078404,3545.4639,2332.1065,0.0,0.0,398.54462323353283,0.0,196.3183899001994,3494.511397295607,3051.684038147237
2025-02-01,51,08:20-08:30,1.0956,3727.1749349905813,2624.432871154244,3411.349,2632.5934,0.0,0.0,348.6243156648386,0.0,218.8317156648386,3051.684038147237,2664.3236874085273
2025-02-01,52,08:30-08:40,1.0849,3668.554237060567,2919.9623048680246,3445.37,2927.6625,0.0,0.0,332.82081786948777,0.0,246.5362345361545,2664.3236874085273,2294.522778664652
2025-02-01,53,08:40-08:50,1.061,3750.6621345809676,3246.39579818727,3467.1139,3251.299,0.0,0.0,288.1315793586549,0.0,252.1624293586549,2294.522778664652,1974.3765793772577
2025-02-01,54,08:50-09:00,1.043,3981.897154909547,3554.6094296976053,3894.4802,3519.7566,0.0,0.0,221.0261703177813,0.0,158.57223698444795,1974.3765793772577,1728.791945690834
2025-02-01,55,09:00-09:10,1.036,4271.222641167944,3824.3222106621,4422.76,3731.7,0.0,0.0,169.30011788504146,0.0,54.123451218374726,1728.791945690834,1540.6807035963434
2025-02-01,56,09:10-09:20,1.0147,4465.539823093732,4088.8203816542614,4267.5205,3992.5758,0.0,0.0,161.25620124121338,0.0,115.43208457454682,1540.6807035963434,1361.5071466616619
2025-02-01,57,09:20-09:30,0.9922,4384.550093737918,4387.905910987576,4190.1702,4378.3332,0.0,0.0,112.67157510360812,0.0,144.03207510360812,1361.5071466616619,1236.316507657653
2025-02-01,58,09:30-09:40,0.97,4225.620513176014,4684.66385705137,4418.32,4788.525,0.0,0.0,13.267983711267789,0.0,74.96881704460111,1236.316507657653,1221.574303534022
2025-02-01,59,09:40-09:50,0.9422,4366.941759593224,4904.033099426303,4399.2754,5029.9241,0.0,0.0,6.214395508170924,0.0,111.32251217483758,1221.574303534022,1214.6694196360543
2025-02-01,60,09:50-10:00,0.9569,4398.041914834268,5125.869084931997,4182.7342,5203.9177,0.0,0.0,13.202477672448936,0.0,183.399727672449,1214.6694196360543,1200.0
2025-02-01,61,10:00-10:10,0.9977,4245.369267155412,5386.887112521482,4071.53,5364.1125,0.0,31.359216997548742,0.0,0.0,184.07119966911785,1200.0,1228.2232952977938
2025-02-01,62,10:10-10:20,0.9919,4254.547191786323,5645.6094862107675,4268.5932,5471.099,0.0,76.77889665486771,0.0,0.0,123.63873667846565,1228.2232952977938,1297.3243022871748
2025-02-01,63,10:20-10:30,0.9588,4301.7843272640675,5877.442078804349,4240.2423,5601.7634,0.0,132.0211548593104,0.0,0.0,94.89902847402288,1297.3243022871748,1416.1433416605541
2025-02-01,64,10:30-10:40,0.9549,4301.562392256957,6034.686471045901,4001.96,5755.3125,0.0,180.171350950621,0.0,0.0,112.05406571604567,1416.1433416605541,1578.297557516113
2025-02-01,65,10:40-10:50,0.9839,4294.1305379256755,6085.401625237263,4072.3226,5878.849,0.0,167.17017552617676,0.0,0.0,133.91755780715664,1578.297557516113,1728.750715489672
2025-02-01,66,10:50-11:00,0.799,4187.593108309383,6167.436930893572,4068.783,6128.0874,0.0,153.99765467390625,0.0,0.0,189.21974532609374,1728.750715489672,1867.3486046961877
2025-02-01,67,11:00-11:10,0.5025,4104.495791083535,6320.901821830309,3917.55,6361.65,481.7644924198162,761.2701209716965,0.0,0.0,127.84437144811955,1867.3486046961877,2552.4917135707146
2025-02-01,68,11:10-11:20,0.4662,4252.388509023699,6450.3508969541135,3946.1661,6277.0669,609.8490923648571,833.3333333333333,0.0,0.0,164.99922569819046,2552.4917135707146,3302.4917135707146
2025-02-01,69,11:20-11:30,0.5007,4210.2697616194255,6485.58759128882,3936.6103,6308.0507,611.2598738625707,833.3333333333333,0.0,0.0,173.16660719590413,3302.4917135707146,4052.4917135707146
2025-02-01,70,11:30-11:40,0.4827,4044.340673739539,6488.856966437445,3927.21,6594.375,548.8153758269925,833.3333333333333,0.0,0.0,160.00954249365918,4052.4917135707146,4802.491713570715
2025-02-01,71,11:40-11:50,0.4785,4222.777046659066,6584.438998622728,4153.2513,6817.8939,567.7468370467267,833.3333333333333,0.0,0.0,178.52060371339337,4802.491713570715,5552.491713570715
2025-02-01,72,11:50-12:00,0.4662,4260.382373087199,6651.303831463242,4080.8969,6770.5009,557.2703621840906,833.3333333333333,0.0,0.0,172.20436218409054,5552.491713570715,6302.491713570715
2025-02-01,73,12:00-12:10,0.4432,4041.812555906679,6617.0464101722655,3840.2,6603.9375,526.7907731939656,833.3333333333333,0.0,0.0,154.08035652729905,6302.491713570715,7052.491713570715
2025-02-01,74,12:10-12:20,0.4411,3962.307563168396,6533.652640864905,4061.0483,6632.8992,598.4733464431262,833.3333333333333,0.0,0.0,193.78182977645963,7052.491713570715,7802.491713570715
2025-02-01,75,12:20-12:30,0.4551,3999.487073591031,6500.552894364384,3978.5628,6536.8864,646.5654926185844,833.3333333333333,0.0,0.0,239.61942595191795,7802.491713570715,8552.491713570715
2025-02-01,76,12:30-12:40,0.4463,4048.669658954986,6517.834637673433,3564.13,6314.475,609.599164680482,833.3333333333333,0.0,0.0,234.65666468048187,8552.491713570715,9302.491713570715
2025-02-01,77,12:40-12:50,0.4113,4055.156037760861,6491.319907298145,3606.685,6312.5866,628.6145746593572,833.3333333333333,0.0,0.0,246.264841326024,9302.491713570715,10052.491713570715
2025-02-01,78,12:50-13:00,0.5682,4047.6725129505185,6392.843567217801,3800.0122,6353.9385,0.0,189.84877332852204,0.0,0.0,235.80561000481123,10052.491713570715,10223.355609566384
2025-02-01,79,13:00-13:10,0.8279,4051.8219114817134,6283.649474711692,3832.09,6313.35,0.0,46.5418921994368,0.0,0.0,367.0014411338965,10223.355609566384,10265.243312545877
2025-02-01,80,13:10-13:20,0.8636,4054.758348443903,6242.023838214568,3716.2454,6246.1375,0.0,85.99338890097738,0.0,0.0,335.65529443235596,10265.243312545877,10342.637362556758
2025-02-01,81,13:20-13:30,0.8416,3990.254070044726,6135.780126062908,3639.0264,6175.373,0.0,101.73191701694077,0.0,0.0,320.9925163163923,10342.637362556758,10434.196087872004
2025-02-01,82,13:30-13:40,0.8618,3910.050777625913,5964.663336620983,3642.08,6103.6875,0.0,80.61843009235622,0.0,0.0,329.64948657431046,10434.196087872004,10506.752674955125
2025-02-01,83,13:40-13:50,0.8623,3931.441031795606,5853.636495722923,3637.91,5992.7643,0.0,87.28168945227492,0.0,0.0,305.1940272143918,10506.752674955125,10585.306195462173
2025-02-01,84,13:50-14:00,0.9026,3918.2682116307087,5693.511915377566,3749.5633,5691.8061,0.0,94.71960988391447,0.0,0.0,228.98752344941886,10585.306195462173,10670.553844357697
2025-02-01,85,14:00-14:10,0.9754,3864.4903914869105,5458.472580414862,3849.87,5251.125,0.0,80.65518637672255,0.0,0.0,152.88731362327746,10670.553844357697,10743.143512096747
2025-02-01,86,14:10-14:20,1.0002,3874.4896131519863,5235.551963777338,3676.3403,4893.7405,0.0,51.2935143541481,0.0,0.0,151.60651897918524,10743.143512096747,10789.30767501548
2025-02-01,87,14:20-14:30,0.9978,3732.1315884240407,4990.054959063721,3619.6065,4617.2194,0.0,11.880361093911688,0.0,0.0,154.388455572755,10789.30767501548,10800.0
2025-02-01,88,14:30-14:40,1.0271,3536.161679141724,4715.555677047005,3664.87,4364.4,0.0,0.0,-0.0,0.0,116.58833333333325,10800.0,10800.0
2025-02-01,89,14:40-14:50,1.0906,3610.4295763941154,4451.313018311345,3429.7385,4104.4044,0.0,0.0,70.7818560186779,0.0,183.22617268534464,10800.0,10721.35349331258
2025-02-01,90,14:50-15:00,0.9376,3611.805004525574,4179.840104175972,3327.5652,3890.1686,0.0,0.0,57.98043273990152,0.0,151.74766607323477,10721.35349331258,10656.930790268245
2025-02-01,91,15:00-15:10,0.6694,3508.47755165913,3906.3060193892175,3473.54,3688.35,67.50777412985269,0.0,0.0,0.0,103.30944079651931,10656.930790268245,10656.930790268245
2025-02-01,92,15:10-15:20,0.66,3612.3213590604823,3653.955442595412,3562.932,3392.3571,233.34614133501748,158.965788590839,0.0,0.0,45.951202744178545,10656.930790268245,10800.0
2025-02-01,93,15:20-15:30,0.7217,3692.6131886117414,3371.2436660681597,3620.2202,3032.6158,109.12925642418543,0.0,0.0,0.0,11.195189757518733,10800.0,10800.0
2025-02-01,94,15:30-15:40,0.7308,3659.336307408137,3054.1319558809596,3651.93,2703.825,145.4817080851543,0.0,0.0,12.535791914845731,0.0,10800.0,10800.0
2025-02-01,95,15:40-15:50,0.7534,3655.396228067803,2748.2829010286064,3580.7319,2481.7698,201.1677519884459,0.0,0.0,0.0,18.007401988445906,10800.0,10800.0
2025-02-01,96,15:50-16:00,0.7823,3630.2657816213814,2433.2099072573337,3420.6657,2255.8374,293.2175099709219,0.0,0.0,0.0,99.0794599709219,10800.0,10800.0
2025-02-01,97,16:00-16:10,0.8055,3516.2412525847094,2105.4688055830607,3292.5,1973.5875,312.06376680428195,0.0,0.0,0.0,92.24501680428193,10800.0,10800.0
2025-02-01,98,16:10-16:20,0.8271,3338.3721395119906,1788.2820485493346,3324.4944,1687.0443,294.9222422866139,0.0,-0.0,0.0,22.01389228661384,10800.0,10800.0
2025-02-01,99,16:20-16:30,0.8519,3340.312202276451,1474.7051888834171,3354.2164,1442.6491,336.2706218971447,0.0,-0.0,0.0,17.676071897144794,10800.0,10800.0
2025-02-01,100,16:30-16:40,0.8791,3471.914776616878,1159.2663760192477,3378.64,1214.175,445.792759251591,0.0,-0.0,0.0,85.04859258492442,10800.0,10800.0
2025-02-01,101,16:40-16:50,0.9024,3397.7464078575385,847.3340875738388,3481.7178,933.1142,465.3213549767983,0.0,-0.0,0.0,40.55408831013165,10800.0,10800.0
2025-02-01,102,16:50-17:00,0.9163,3044.8026312589336,550.0605544001078,3196.9081,640.2688,449.7740654733485,0.0,-0.0,0.0,23.667515473348573,10800.0,10800.0
2025-02-01,103,17:00-17:10,0.9264,2666.037393275149,279.6731002493482,2680.68,358.2375,443.56010441378425,0.0,-0.0,0.0,56.48635441378427,10800.0,10800.0
2025-02-01,104,17:10-17:20,0.9462,2620.853616989315,62.82377556721818,2601.2611,95.3846,473.88057871561966,0.0,-0.0,0.0,56.23449538228632,10800.0,10800.0
2025-02-01,105,17:20-17:30,0.9742,2678.1443108275425,0.0,2638.6848,0.0,503.78044858512203,0.0,-0.0,0.0,63.99964858512203,10800.0,10800.0
2025-02-01,106,17:30-17:40,0.9862,2679.257464287839,0.0,2616.82,0.0,504.407390817001,0.0,-0.0,0.0,68.27072415033433,10800.0,10800.0
2025-02-01,107,17:40-17:50,0.976,2680.9451578089524,3.7293424298761417,2675.971,4.1367,504.75617373291,0.0,0.0,0.0,59.45045706624334,10800.0,10800.0
2025-02-01,108,17:50-18:00,1.0742,2709.4930485957516,0.0,2639.3558,0.0,498.90637946817816,0.0,-0.0,0.0,59.013746134844894,10800.0,10800.0
2025-02-01,109,18:00-18:10,1.2313,2770.285386087582,0.0,2570.82,0.0,2.1836470514158464,0.0,504.24558396318116,0.0,77.95923101459698,10800.0,10239.727128929799
2025-02-01,110,18:10-18:20,1.2561,2838.321966189146,0.2677450318979426,2725.1073,0.297,0.0,0.0,489.1953578564767,0.0,35.0603078564767,10239.727128929799,9696.17673131149
2025-02-01,111,18:20-18:30,1.2447,2816.0359435479145,0.0,2833.5919,0.0,0.0,0.0,502.84146198997223,0.0,30.57614532330558,9696.17673131149,9137.463995767077
2025-02-01,112,18:30-18:40,1.2545,2715.9109726458646,0.0,2725.01,0.0,0.0,0.0,488.4811563060876,0.0,34.31282297275425,9137.463995767077,8594.70715542698
2025-02-01,113,18:40-18:50,1.2522,2663.8334518380643,0.019230383220486723,2510.2571,0.0213,0.0,0.0,506.5605988139026,0.0,88.18796548056929,8594.70715542698,8031.862045633756
2025-02-01,114,18:50-19:00,1.2881,2718.717532134776,0.0,2484.4934,0.0,0.0,0.0,513.1667691750083,0.0,99.084535841675,8031.862045633756,7461.676746550414
2025-02-01,115,19:00-19:10,1.3466,2732.721191217369,0.0,2592.83,0.0,0.0,0.0,519.0545462616113,0.0,86.91621292827801,7461.676746550414,6884.949472926401
2025-02-01,116,19:10-19:20,1.3523,2522.159716855889,0.001174333407162441,2544.0862,0.0015,0.0,0.0,479.45692613469936,0.0,55.44280946803269,6884.949472926401,6352.2195549989565
2025-02-01,117,19:20-19:30,1.3445,2491.507981033578,0.0,2654.4748,0.0,0.0,0.0,490.8782795394232,0.0,48.465812872756544,6352.2195549989565,5806.799244399597
2025-02-01,118,19:30-19:40,1.3483,2673.557334439873,0.0,2902.48,0.0,0.0,0.0,515.2299550541811,0.0,31.48328838751445,5806.799244399597,5234.321516561618
2025-02-01,119,19:40-19:50,1.349,2705.359586270025,0.0,2887.1068,0.0,0.0,0.0,508.92713503830873,0.0,27.742668371642083,5234.321516561618,4668.846922074608
2025-02-01,120,19:50-20:00,1.3473,2715.718982360335,0.0,2668.5956,0.0,0.0,0.0,492.2173165045002,0.0,47.45138317116687,4668.846922074608,4121.938792625164
2025-02-01,121,20:00-20:10,1.3482,2769.377058247829,0.0,2508.57,0.0,0.0,0.0,504.506454152416,0.0,86.41145415241596,4121.938792625164,3561.376065789146
2025-02-01,122,20:10-20:20,1.3513,2770.857932473911,0.0,2620.4431,0.0,0.0,0.0,537.8420748567629,0.0,101.10155819009628,3561.376065789146,2963.773760392743
2025-02-01,123,20:20-20:30,1.34,2752.478608105168,0.0,2716.1871,0.0,0.0,0.0,509.38103706514704,0.0,56.683187065147024,2963.773760392743,2397.7948303203575
2025-02-01,124,20:30-20:40,1.3489,2729.8223305312295,0.0,2699.81,0.0,0.0,0.0,522.4844360409191,0.0,72.51610270758584,2397.7948303203575,1817.2565680526698
2025-02-01,125,20:40-20:50,1.3952,2706.9464246272737,0.0,2730.4002,0.0,0.0,0.0,555.5309112474027,0.0,100.46421124740277,1817.2565680526698,1200.0
2025-02-01,126,20:50-21:00,1.2226,2830.9837116083454,0.0,2724.0742,0.0,514.0730379776346,0.0,-0.0,0.0,60.06067131096796,1200.0,1200.0
2025-02-01,127,21:00-21:10,0.9332,2966.443408456476,0.0,2756.43,0.0,525.9030680760792,0.0,0.0,0.0,66.49806807607922,1200.0,1200.0
2025-02-01,128,21:10-21:20,0.9068,2817.031649729728,0.0,2984.5246,0.0,518.8581876610197,0.0,0.0,0.0,21.437420994352976,1200.0,1200.0
2025-02-01,129,21:20-21:30,0.9371,2704.967194368106,0.0,3019.6988,0.0,520.0170446221282,0.0,0.0,0.0,16.733911288794843,1200.0,1200.0
2025-02-01,130,21:30-21:40,0.9371,2790.274875133315,0.0,2865.34,0.0,515.3565268079335,0.0,0.0,0.0,37.799860141266834,1200.0,1200.0
2025-02-01,131,21:40-21:50,0.9871,2901.595579112316,0.0,2874.8157,0.0,550.3620338715119,0.0,-0.0,0.0,71.22608387151195,1200.0,1200.0
2025-02-01,132,21:50-22:00,0.7764,2833.0755082083915,0.0,2701.2246,0.0,535.508092644752,0.0,-0.0,0.0,85.30399264475199,1200.0,1200.0
2025-02-01,133,22:00-22:10,0.4209,2595.1639007521917,0.0,2352.51,0.0,1312.0877108179197,833.3333333333333,0.0,0.0,86.66937748458645,1200.0,1950.0
2025-02-01,134,22:10-22:20,0.3859,2403.8930126185314,0.0,2230.6189,0.0,1274.610468769755,833.3333333333333,0.0,0.0,69.5073187697551,1950.0,2700.0
2025-02-01,135,22:20-22:30,0.4368,2403.92187648837,0.0,2181.4693,0.0,1255.259187447817,833.3333333333333,0.0,0.0,58.347637447817306,2700.0,3450.0
2025-02-01,136,22:30-22:40,0.4198,2535.7988431089007,0.0,2154.94,0.0,1286.0525691292264,833.3333333333333,0.0,0.0,93.56256912922663,3450.0,4200.0
2025-02-01,137,22:40-22:50,0.4186,2573.5720655479063,0.0,2292.3043,0.0,1268.5849674359197,833.3333333333333,0.0,0.0,53.20091743591979,4200.0,4950.0
2025-02-01,138,22:50-23:00,0.4241,2376.26815573339,0.0,2503.0105,0.0,1258.6598676222316,833.3333333333333,0.0,0.0,8.158117622231657,4950.0,5700.0
2025-02-01,139,23:00-23:10,0.4237,2182.0673750311776,0.0,2590.78,0.0,1246.9490069496405,833.3333333333333,0.0,18.180993050359348,0.0,5700.0,6450.0
2025-02-01,140,23:10-23:20,0.4248,2377.451598094155,0.0,2438.7897,0.0,1259.864573945235,833.3333333333333,0.0,0.0,20.066290611901877,6450.0,7200.0
2025-02-01,141,23:20-23:30,0.424,2537.9748625158186,0.0,2405.7592,0.0,1283.5985270859696,833.3333333333333,0.0,0.0,49.30532708596979,7200.0,7950.0
2025-02-01,142,23:30-23:40,0.422,2474.455322072033,0.0,2459.67,0.0,1287.8406092342277,833.3333333333333,0.0,0.0,44.56227590089452,7950.0,8700.0
2025-02-01,143,23:40-23:50,0.424,2474.463018197854,0.0,2323.4202,0.0,1285.743674943598,833.3333333333333,0.0,0.0,65.1736416102649,8700.0,9450.0
2025-02-01,144,23:50-24:00,0.4271,2933.9775328453657,0.0,2728.2609,0.0,1350.801472140894,833.3333333333333,0.0,0.0,62.75798880756065,9450.0,10200.0
2025-02-02,1,00:00-00:10,0.4276,3577.6460110083176,0.0,3484.94,0.0,640.0856967065326,0.0,0.0,0.0,59.26236337319938,10200.0,10200.0
2025-02-02,2,00:10-00:20,0.4248,3657.3764371703255,0.0,3591.9843,0.0,665.2058995283876,0.0,0.0,0.0,66.54184952838762,10200.0,10200.0
2025-02-02,3,00:20-00:30,0.4245,3553.6164938190686,0.0,3490.4069,0.0,668.9747544821065,0.0,0.0,0.0,87.24027114877322,10200.0,10200.0
2025-02-02,4,00:30-00:40,0.4269,3547.733422167392,0.0,3507.56,0.0,647.6948560755177,0.0,0.0,0.0,63.10152274218444,10200.0,10200.0
2025-02-02,5,00:40-00:50,0.4272,3566.713640215656,0.0,3516.6172,0.0,641.4038928308757,0.0,0.0,0.0,55.301026164209134,10200.0,10200.0
2025-02-02,6,00:50-01:00,0.4271,3604.2040325100756,0.0,3523.1812,0.0,629.729027627867,0.0,0.0,0.0,42.53216096120036,10200.0,10200.0
2025-02-02,7,01:00-01:10,0.4285,3640.9155181719643,0.0,3576.44,0.0,658.6009196953273,0.0,0.0,0.0,62.527586361994054,10200.0,10200.0
2025-02-02,8,01:10-01:20,0.4311,3656.2416237001953,0.0,3672.3289,0.0,637.3251539500326,0.0,0.0,0.0,25.27033728336596,10200.0,10200.0
2025-02-02,9,01:20-01:30,0.4302,3749.6573226940645,0.0,3589.9458,0.0,663.9081152924199,0.0,0.0,0.0,65.5838152924199,10200.0,10200.0
2025-02-02,10,01:30-01:40,0.4279,3847.474174482974,0.0,3433.4,0.0,675.602362413829,0.0,0.0,0.0,103.3690290804957,10200.0,10200.0
2025-02-02,11,01:40-01:50,0.4312,3755.3795066460816,0.0,3549.9164,0.0,669.3880011076803,0.0,0.0,0.0,77.735267774347,10200.0,10200.0
